task_id,mode,rep_index,account_id,status,score,error
incident-inv-docker-shutdown-004,baseline,1,1,dry-run,,
incident-inv-docker-shutdown-004,baseline,2,2,dry-run,,
incident-inv-docker-shutdown-004,baseline,3,3,dry-run,,
incident-inv-docker-shutdown-004,mcp_only,1,4,dry-run,,
incident-inv-docker-shutdown-004,mcp_only,2,5,dry-run,,
incident-inv-docker-shutdown-004,mcp_only,3,1,dry-run,,
incident-inv-docker-shutdown-004,hybrid,1,2,dry-run,,
incident-inv-docker-shutdown-004,hybrid,2,3,dry-run,,
incident-inv-docker-shutdown-004,hybrid,3,4,dry-run,,
error-trace-k8s-nftables-sync-001,baseline,1,5,dry-run,,
error-trace-k8s-nftables-sync-001,baseline,2,1,dry-run,,
error-trace-k8s-nftables-sync-001,baseline,3,2,dry-run,,
error-trace-k8s-nftables-sync-001,mcp_only,1,3,dry-run,,
error-trace-k8s-nftables-sync-001,mcp_only,2,4,dry-run,,
error-trace-k8s-nftables-sync-001,mcp_only,3,5,dry-run,,
error-trace-k8s-nftables-sync-001,hybrid,1,1,dry-run,,
error-trace-k8s-nftables-sync-001,hybrid,2,2,dry-run,,
error-trace-k8s-nftables-sync-001,hybrid,3,3,dry-run,,
support-map-grafana-alerts-004,baseline,1,4,dry-run,,
support-map-grafana-alerts-004,baseline,2,5,dry-run,,
support-map-grafana-alerts-004,baseline,3,1,dry-run,,
support-map-grafana-alerts-004,mcp_only,1,2,dry-run,,
support-map-grafana-alerts-004,mcp_only,2,3,dry-run,,
support-map-grafana-alerts-004,mcp_only,3,4,dry-run,,
support-map-grafana-alerts-004,hybrid,1,5,dry-run,,
support-map-grafana-alerts-004,hybrid,2,1,dry-run,,
support-map-grafana-alerts-004,hybrid,3,2,dry-run,,
config-drift-argocd-redis-ha-004,baseline,1,3,dry-run,,
config-drift-argocd-redis-ha-004,baseline,2,4,dry-run,,
config-drift-argocd-redis-ha-004,baseline,3,5,dry-run,,
config-drift-argocd-redis-ha-004,mcp_only,1,1,dry-run,,
config-drift-argocd-redis-ha-004,mcp_only,2,2,dry-run,,
config-drift-argocd-redis-ha-004,mcp_only,3,3,dry-run,,
config-drift-argocd-redis-ha-004,hybrid,1,4,dry-run,,
config-drift-argocd-redis-ha-004,hybrid,2,5,dry-run,,
config-drift-argocd-redis-ha-004,hybrid,3,1,dry-run,,
incident-inv-docker-shutdown-004,ablate-moby,1,2,dry-run,,
incident-inv-docker-shutdown-004,ablate-moby,2,3,dry-run,,
incident-inv-docker-shutdown-004,ablate-moby,3,4,dry-run,,
incident-inv-docker-shutdown-004,ablate-containerd,1,5,dry-run,,
incident-inv-docker-shutdown-004,ablate-containerd,2,1,dry-run,,
incident-inv-docker-shutdown-004,ablate-containerd,3,2,dry-run,,
support-map-grafana-alerts-004,ablate-grafana,1,3,dry-run,,
support-map-grafana-alerts-004,ablate-grafana,2,4,dry-run,,
support-map-grafana-alerts-004,ablate-grafana,3,5,dry-run,,
support-map-grafana-alerts-004,ablate-alertmanager,1,1,dry-run,,
support-map-grafana-alerts-004,ablate-alertmanager,2,2,dry-run,,
support-map-grafana-alerts-004,ablate-alertmanager,3,3,dry-run,,
